country,num_games,num_wins,win_ratio
Spain,262,185,0.6801470588235294
Brazil,293,190,0.6270627062706271
France,271,167,0.594306049822064
Germany,276,168,0.5874125874125874
Netherlands,243,148,0.5849802371541502
Argentina,259,153,0.5687732342007435
Iran,288,167,0.5604026845637584
Egypt,271,157,0.5587188612099645
England,237,138,0.5587044534412955
Portugal,255,148,0.558490566037736
Jersey,52,34,0.5483870967741936
Padania,43,29,0.5471698113207547
Mexico,361,197,0.5309973045822103
United States,324,176,0.5269461077844311
Japan,320,173,0.5242424242424243
Isle of Man,36,24,0.5217391304347826
Belgium,211,115,0.5203619909502263
Croatia,228,123,0.5168067226890757
Italy,252,132,0.5038167938931298
Australia,235,123,0.5020408163265305
Ivory Coast,247,129,0.5019455252918289
Czech Republic,220,114,0.4956521739130435
Guernsey,51,30,0.49180327868852464
Nigeria,263,134,0.4908424908424909
Northern Cyprus,31,20,0.4878048780487805
Saudi Arabia,322,160,0.4819277108433735
Morocco,239,117,0.4698795180722891
South Korea,326,157,0.46726190476190477
Senegal,229,111,0.4644351464435147
Poland,251,121,0.46360153256704983
New Caledonia,94,48,0.4615384615384615
Switzerland,208,100,0.45871559633027525
Colombia,248,118,0.45736434108527135
Ukraine,207,99,0.45622119815668205
Romania,214,102,0.4553571428571429
Russia,212,101,0.45495495495495497
Turkey,238,112,0.45161290322580644
Sweden,270,126,0.45
Guadeloupe,108,53,0.4491525423728814
Denmark,215,100,0.4444444444444445
Fiji,90,44,0.44
Oman,303,137,0.4376996805111821
Cameroon,242,109,0.43253968253968256
Greece,220,98,0.4260869565217391
Uruguay,244,108,0.42519685039370075
China PR,277,122,0.42508710801393723
Ghana,247,109,0.42412451361867703
Thailand,262,115,0.4227941176470588
Qatar,328,142,0.42011834319526625
Chile,257,112,0.41947565543071164
Uzbekistan,224,98,0.4188034188034188
Algeria,217,95,0.4185022026431718
Tunisia,258,111,0.4141791044776119
South Africa,292,125,0.4139072847682119
Zimbabwe,232,100,0.4132231404958678
Uganda,288,123,0.412751677852349
Mali,209,90,0.4109589041095891
Serbia,222,95,0.40948275862068967
Saint Vincent and the Grenadines,54,26,0.40625
Basque Country,22,13,0.40625
Republic of Ireland,215,91,0.4044444444444445
Ynys Môn,37,19,0.40425531914893614
Solomon Islands,94,42,0.40384615384615385
Vietnam,167,71,0.4011299435028249
Honduras,288,119,0.39932885906040266
Norway,218,91,0.3991228070175438
Suriname,103,45,0.3982300884955752
Bosnia and Herzegovina,186,78,0.39795918367346944
Martinique,131,56,0.3971631205673759
Dominican Republic,79,35,0.3932584269662921
Jamaica,257,104,0.3895131086142322
Slovakia,211,86,0.3891402714932127
Réunion,21,12,0.3870967741935483
Bulgaria,184,75,0.38659793814432986
Costa Rica,312,124,0.38509316770186336
United Arab Emirates,281,112,0.3848797250859107
Trinidad and Tobago,286,113,0.38175675675675674
Scotland,171,69,0.38121546961325964
Zambia,305,119,0.37777777777777777
Hungary,202,80,0.37735849056603776
Guinea,181,72,0.37696335078534027
India,181,72,0.37696335078534027
Rhodes,14,9,0.37500000000000006
Iraq,300,116,0.3741935483870968
Finland,223,87,0.3733905579399142
Syria,250,97,0.3730769230769231
Vanuatu,84,35,0.3723404255319149
Bermuda,84,35,0.3723404255319149
Tajikistan,122,49,0.3712121212121212
Guyana,106,43,0.3706896551724138
Indonesia,179,70,0.37037037037037035
Andalusia,9,7,0.3684210526315789
Saint Kitts and Nevis,115,46,0.36800000000000005
Turkmenistan,105,42,0.3652173913043478
Israel,160,62,0.36470588235294116
Cape Verde,114,45,0.3629032258064516
New Zealand,129,50,0.3597122302158274
Kuwait,275,102,0.35789473684210527
Jordan,292,108,0.3576158940397351
Haiti,203,76,0.3568075117370892
Tahiti,77,31,0.3563218390804598
Ecuador,237,88,0.3562753036437247
Wales,173,65,0.3551912568306011
Bahrain,328,120,0.35502958579881655
Austria,185,69,0.35384615384615387
Canada,172,64,0.3516483516483516
Ethiopia,172,64,0.3516483516483516
Iraqi Kurdistan,27,13,0.3513513513513513
French Guiana,87,34,0.3505154639175258
North Korea,210,77,0.35
DR Congo,214,78,0.3482142857142857
Isle of Wight,22,11,0.34375
Cuba,176,63,0.33870967741935487
Guatemala,206,73,0.33796296296296297
Rwanda,212,75,0.33783783783783783
Singapore,242,85,0.3373015873015873
Slovenia,188,66,0.33333333333333337
Greenland,41,17,0.3333333333333333
Philippines,161,57,0.3333333333333333
Burma,146,52,0.3333333333333333
Barbados,131,47,0.3333333333333333
Iceland,205,71,0.3302325581395349
Libya,193,67,0.33004926108374383
Mozambique,169,59,0.329608938547486
Belarus,189,65,0.3266331658291457
Kosovo,39,16,0.32653061224489793
Malaysia,232,79,0.32644628099173556
Sudan,224,76,0.3247863247863248
Panama,265,89,0.3236363636363636
Antigua and Barbuda,117,41,0.3228346456692913
Menorca,21,10,0.32258064516129026
Angola,234,78,0.31967213114754095
Peru,217,72,0.31718061674008813
County of Nice,9,6,0.3157894736842105
Abkhazia,28,12,0.3157894736842105
Paraguay,239,78,0.3132530120481928
Albania,182,60,0.3125
El Salvador,221,72,0.3116883116883117
Kenya,250,81,0.31153846153846154
Burkina Faso,218,71,0.3114035087719298
Gabon,185,60,0.3076923076923077
Sápmi,26,11,0.3055555555555555
Åland Islands,26,11,0.3055555555555555
Kyrgyzstan,121,40,0.3053435114503817
Venezuela,233,74,0.30452674897119336
Botswana,217,69,0.30396475770925113
Hong Kong,155,50,0.30303030303030304
Madagascar,133,43,0.3006993006993007
Togo,184,58,0.29896907216494845
Montenegro,104,34,0.2982456140350877
Maldives,138,44,0.29729729729729726
Kernow,7,5,0.29411764705882354
Yorkshire,7,5,0.29411764705882354
Tanzania,228,70,0.29411764705882354
Congo,157,49,0.2934131736526946
Curaçao,103,33,0.2920353982300885
Catalonia,21,9,0.29032258064516125
Western Isles,28,11,0.28947368421052627
Malawi,221,66,0.2857142857142857
Occitania,18,8,0.2857142857142857
Artsakh,11,6,0.2857142857142857
Estonia,251,74,0.2835249042145594
Burundi,150,45,0.28125
Afghanistan,94,29,0.27884615384615385
Grenada,116,35,0.27777777777777773
Zanzibar,77,24,0.27586206896551724
Namibia,168,49,0.2752808988764045
Saint Lucia,99,30,0.27522935779816515
Shetland,30,11,0.27499999999999997
Northern Ireland,172,50,0.27472527472527475
Palestine,159,46,0.27218934911242604
Benin,141,41,0.271523178807947
North Macedonia,189,54,0.271356783919598
Georgia,183,52,0.2694300518134715
Liberia,111,32,0.2644628099173554
Ellan Vannin,17,7,0.25925925925925924
Gibraltar,79,23,0.2584269662921348
Bahamas,29,10,0.25641025641025644
Papua New Guinea,45,14,0.2545454545454546
Bangladesh,122,33,0.25
Kárpátalja,10,5,0.25
Arameans Suryoye,10,5,0.25
Lebanon,190,50,0.24999999999999997
Armenia,164,43,0.2471264367816092
Equatorial Guinea,104,28,0.24561403508771928
Samoa,35,11,0.24444444444444444
Nepal,118,31,0.24218750000000003
Mongolia,69,19,0.24050632911392406
Sierra Leone,94,25,0.2403846153846154
Saint Martin,40,12,0.24
Cyprus,167,42,0.23728813559322032
Latvia,205,51,0.2372093023255814
Chinese Taipei,83,22,0.23655913978494625
Cascadia,7,4,0.2352941176470588
Lithuania,186,46,0.23469387755102042
Gotland,25,8,0.2285714285714286
Monaco,12,5,0.22727272727272727
Panjab,12,5,0.22727272727272727
Bonaire,21,7,0.2258064516129032
Belize,70,18,0.22499999999999998
Tamil Eelam,17,6,0.22222222222222224
Mauritania,109,26,0.2184873949579832
Sri Lanka,128,30,0.21739130434782608
Nicaragua,101,23,0.20720720720720723
Kazakhstan,166,36,0.20454545454545456
Central African Republic,59,14,0.2028985507246377
Cambodia,133,29,0.20279720279720279
Guinea-Bissau,64,15,0.20270270270270271
Dominica,79,18,0.20224719101123595
Puerto Rico,60,14,0.19999999999999998
Brittany,5,3,0.19999999999999998
Crimea,5,3,0.19999999999999998
Gambia,92,20,0.19607843137254902
Yemen,171,35,0.19337016574585636
Myanmar,16,5,0.19230769230769232
Western Armenia,16,5,0.19230769230769232
Eswatini,168,34,0.19101123595505617
Guam,79,17,0.19101123595505617
Laos,128,26,0.18840579710144928
Niger,107,22,0.18803418803418803
Chad,71,15,0.18518518518518517
Pakistan,93,19,0.18446601941747576
Székely Land,23,6,0.18181818181818182
Lesotho,183,35,0.18134715025906736
Moldova,186,35,0.17857142857142858
Bolivia,175,33,0.1783783783783784
Corsica,7,3,0.1764705882352941
Montserrat,30,7,0.175
Azerbaijan,194,35,0.1715686274509804
Turks and Caicos Islands,25,6,0.17142857142857143
São Tomé and Príncipe,31,7,0.17073170731707316
Tonga,38,8,0.16666666666666666
South Ossetia,14,4,0.16666666666666666
Felvidék,8,3,0.16666666666666666
Orkney,21,5,0.16129032258064513
Mauritius,121,21,0.16030534351145037
Provence,15,4,0.16
Cook Islands,28,6,0.15789473684210525
Parishes of Jersey,3,2,0.15384615384615385
Falkland Islands,29,6,0.15384615384615385
South Sudan,43,8,0.1509433962264151
Macau,83,14,0.15053763440860213
Cayman Islands,50,9,0.15
Aruba,50,9,0.15
Faroe Islands,137,21,0.14285714285714288
Hitra,11,3,0.14285714285714285
Brunei,47,8,0.14035087719298245
British Virgin Islands,63,10,0.136986301369863
Barawa,12,3,0.13636363636363635
Somaliland,5,2,0.13333333333333333
Western Sahara,5,2,0.13333333333333333
Galicia,5,2,0.13333333333333333
Chameria,5,2,0.13333333333333333
Matabeleland,5,2,0.13333333333333333
Eritrea,59,9,0.13043478260869568
Comoros,60,9,0.12857142857142856
Saare County,31,5,0.12195121951219512
Seychelles,90,11,0.11
Malta,184,21,0.10824742268041236
Mayotte,18,3,0.10714285714285715
Alderney,19,3,0.10344827586206895
Tuvalu,29,4,0.10256410256410256
Luxembourg,178,19,0.10106382978723404
Frøya,20,3,0.09999999999999999
U.S. Virgin Islands,51,6,0.09836065573770492
United Koreans in Japan,11,2,0.09523809523809525
American Samoa,34,4,0.09090909090909091
Surrey,1,1,0.09090909090909091
Bhutan,79,8,0.0898876404494382
Sint Maarten,13,2,0.08695652173913043
Canary Islands,2,1,0.08333333333333333
Romani people,3,1,0.07692307692307693
Liechtenstein,155,12,0.07272727272727274
Republic of St. Pauli,4,1,0.07142857142857142
Two Sicilies,4,1,0.07142857142857142
Somalia,63,5,0.0684931506849315
East Timor,51,4,0.06557377049180328
Gozo,6,1,0.0625
Kabylia,6,1,0.0625
Anguilla,43,3,0.05660377358490566
Raetia,8,1,0.05555555555555555
Timor-Leste,9,1,0.05263157894736842
Chagos Islands,11,1,0.04761904761904762
Djibouti,65,3,0.04
Andorra,145,6,0.038709677419354833
Northern Mariana Islands,21,1,0.03225806451612903
San Marino,118,1,0.0078125
Găgăuzia,3,0,0.0
Silesia,1,0,0.0
Vatican City,6,0,0.0
Kiribati,8,0,0.0
Tibet,13,0,0.0
Madrid,1,0,0.0
Sark,4,0,0.0
Saint Pierre and Miquelon,7,0,0.0
Darfur,7,0,0.0
Micronesia,4,0,0.0
Saint Helena,4,0,0.0
